dp[66]:33, k:1, vi:15, wi:18, si:1
dp[65]:33, k:1, vi:15, wi:18, si:1
dp[64]:33, k:1, vi:15, wi:18, si:1
dp[63]:33, k:1, vi:15, wi:18, si:1
dp[62]:33, k:1, vi:15, wi:18, si:1
dp[61]:33, k:1, vi:15, wi:18, si:1
dp[60]:33, k:1, vi:15, wi:18, si:1
dp[59]:33, k:1, vi:15, wi:18, si:1
dp[58]:33, k:1, vi:15, wi:18, si:1
dp[57]:33, k:1, vi:15, wi:18, si:1
dp[56]:33, k:1, vi:15, wi:18, si:1
dp[55]:33, k:1, vi:15, wi:18, si:1
dp[54]:33, k:1, vi:15, wi:18, si:1
dp[53]:33, k:1, vi:15, wi:18, si:1
dp[52]:33, k:1, vi:15, wi:18, si:1
dp[51]:33, k:1, vi:15, wi:18, si:1
dp[50]:33, k:1, vi:15, wi:18, si:1
dp[49]:33, k:1, vi:15, wi:18, si:1
dp[48]:33, k:1, vi:15, wi:18, si:1
dp[47]:33, k:1, vi:15, wi:18, si:1
dp[46]:33, k:1, vi:15, wi:18, si:1
dp[45]:33, k:1, vi:15, wi:18, si:1
dp[44]:33, k:1, vi:15, wi:18, si:1
dp[43]:33, k:1, vi:15, wi:18, si:1
dp[42]:33, k:1, vi:15, wi:18, si:1
dp[41]:33, k:1, vi:15, wi:18, si:1
dp[40]:33, k:1, vi:15, wi:18, si:1
dp[39]:33, k:1, vi:15, wi:18, si:1
dp[38]:33, k:1, vi:15, wi:18, si:1
dp[37]:33, k:1, vi:15, wi:18, si:1
dp[36]:33, k:1, vi:15, wi:18, si:1
dp[35]:33, k:1, vi:15, wi:18, si:1
dp[34]:33, k:1, vi:15, wi:18, si:1
dp[33]:33, k:1, vi:15, wi:18, si:1
dp[32]:33, k:1, vi:15, wi:18, si:1
dp[31]:33, k:1, vi:15, wi:18, si:1
dp[30]:33, k:1, vi:15, wi:18, si:1
dp[29]:33, k:1, vi:15, wi:18, si:1
dp[28]:33, k:1, vi:15, wi:18, si:1
dp[27]:33, k:1, vi:15, wi:18, si:1
dp[26]:18, k:1, vi:15, wi:18, si:1
dp[25]:18, k:1, vi:15, wi:18, si:1
dp[24]:18, k:1, vi:15, wi:18, si:1
dp[23]:18, k:1, vi:15, wi:18, si:1
dp[22]:18, k:1, vi:15, wi:18, si:1
dp[21]:18, k:1, vi:15, wi:18, si:1
dp[20]:18, k:1, vi:15, wi:18, si:1
dp[19]:18, k:1, vi:15, wi:18, si:1
dp[18]:18, k:1, vi:15, wi:18, si:1
dp[17]:18, k:1, vi:15, wi:18, si:1
dp[16]:18, k:1, vi:15, wi:18, si:1
dp[15]:18, k:1, vi:15, wi:18, si:1
dp[100]:42, k:1, vi:6, wi:9, si:4
dp[100]:51, k:2, vi:6, wi:9, si:4
dp[100]:60, k:3, vi:6, wi:9, si:4
dp[100]:69, k:4, vi:6, wi:9, si:4
dp[99]:42, k:1, vi:6, wi:9, si:4
dp[99]:51, k:2, vi:6, wi:9, si:4
dp[99]:60, k:3, vi:6, wi:9, si:4
dp[99]:69, k:4, vi:6, wi:9, si:4
dp[98]:42, k:1, vi:6, wi:9, si:4
dp[98]:51, k:2, vi:6, wi:9, si:4
dp[98]:60, k:3, vi:6, wi:9, si:4
dp[98]:69, k:4, vi:6, wi:9, si:4
dp[97]:42, k:1, vi:6, wi:9, si:4
dp[97]:51, k:2, vi:6, wi:9, si:4
dp[97]:60, k:3, vi:6, wi:9, si:4
dp[97]:69, k:4, vi:6, wi:9, si:4
dp[96]:42, k:1, vi:6, wi:9, si:4
dp[96]:51, k:2, vi:6, wi:9, si:4
dp[96]:60, k:3, vi:6, wi:9, si:4
dp[96]:69, k:4, vi:6, wi:9, si:4
dp[95]:42, k:1, vi:6, wi:9, si:4
dp[95]:51, k:2, vi:6, wi:9, si:4
dp[95]:60, k:3, vi:6, wi:9, si:4
dp[95]:69, k:4, vi:6, wi:9, si:4
dp[94]:42, k:1, vi:6, wi:9, si:4
dp[94]:51, k:2, vi:6, wi:9, si:4
dp[94]:60, k:3, vi:6, wi:9, si:4
dp[94]:69, k:4, vi:6, wi:9, si:4
dp[93]:42, k:1, vi:6, wi:9, si:4
dp[93]:51, k:2, vi:6, wi:9, si:4
dp[93]:60, k:3, vi:6, wi:9, si:4
dp[93]:69, k:4, vi:6, wi:9, si:4
dp[92]:42, k:1, vi:6, wi:9, si:4
dp[92]:51, k:2, vi:6, wi:9, si:4
dp[92]:60, k:3, vi:6, wi:9, si:4
dp[92]:69, k:4, vi:6, wi:9, si:4
dp[91]:42, k:1, vi:6, wi:9, si:4
dp[91]:51, k:2, vi:6, wi:9, si:4
dp[91]:60, k:3, vi:6, wi:9, si:4
dp[91]:69, k:4, vi:6, wi:9, si:4
dp[90]:42, k:1, vi:6, wi:9, si:4
dp[90]:51, k:2, vi:6, wi:9, si:4
dp[90]:60, k:3, vi:6, wi:9, si:4
dp[90]:69, k:4, vi:6, wi:9, si:4
dp[89]:42, k:1, vi:6, wi:9, si:4
dp[89]:51, k:2, vi:6, wi:9, si:4
dp[89]:60, k:3, vi:6, wi:9, si:4
dp[89]:69, k:4, vi:6, wi:9, si:4
dp[88]:42, k:1, vi:6, wi:9, si:4
dp[88]:51, k:2, vi:6, wi:9, si:4
dp[88]:60, k:3, vi:6, wi:9, si:4
dp[88]:69, k:4, vi:6, wi:9, si:4
dp[87]:42, k:1, vi:6, wi:9, si:4
dp[87]:51, k:2, vi:6, wi:9, si:4
dp[87]:60, k:3, vi:6, wi:9, si:4
dp[87]:69, k:4, vi:6, wi:9, si:4
dp[86]:42, k:1, vi:6, wi:9, si:4
dp[86]:51, k:2, vi:6, wi:9, si:4
dp[86]:60, k:3, vi:6, wi:9, si:4
dp[86]:69, k:4, vi:6, wi:9, si:4
dp[85]:42, k:1, vi:6, wi:9, si:4
dp[85]:51, k:2, vi:6, wi:9, si:4
dp[85]:60, k:3, vi:6, wi:9, si:4
dp[85]:69, k:4, vi:6, wi:9, si:4
dp[84]:42, k:1, vi:6, wi:9, si:4
dp[84]:51, k:2, vi:6, wi:9, si:4
dp[84]:60, k:3, vi:6, wi:9, si:4
dp[84]:69, k:4, vi:6, wi:9, si:4
dp[83]:42, k:1, vi:6, wi:9, si:4
dp[83]:51, k:2, vi:6, wi:9, si:4
dp[83]:60, k:3, vi:6, wi:9, si:4
dp[83]:69, k:4, vi:6, wi:9, si:4
dp[82]:42, k:1, vi:6, wi:9, si:4
dp[82]:51, k:2, vi:6, wi:9, si:4
dp[82]:60, k:3, vi:6, wi:9, si:4
dp[82]:69, k:4, vi:6, wi:9, si:4
dp[81]:42, k:1, vi:6, wi:9, si:4
dp[81]:51, k:2, vi:6, wi:9, si:4
dp[81]:60, k:3, vi:6, wi:9, si:4
dp[81]:69, k:4, vi:6, wi:9, si:4
dp[80]:42, k:1, vi:6, wi:9, si:4
dp[80]:51, k:2, vi:6, wi:9, si:4
dp[80]:60, k:3, vi:6, wi:9, si:4
dp[80]:69, k:4, vi:6, wi:9, si:4
dp[79]:42, k:1, vi:6, wi:9, si:4
dp[79]:51, k:2, vi:6, wi:9, si:4
dp[79]:60, k:3, vi:6, wi:9, si:4
dp[79]:69, k:4, vi:6, wi:9, si:4
dp[78]:42, k:1, vi:6, wi:9, si:4
dp[78]:51, k:2, vi:6, wi:9, si:4
dp[78]:60, k:3, vi:6, wi:9, si:4
dp[78]:69, k:4, vi:6, wi:9, si:4
dp[77]:42, k:1, vi:6, wi:9, si:4
dp[77]:51, k:2, vi:6, wi:9, si:4
dp[77]:60, k:3, vi:6, wi:9, si:4
dp[77]:69, k:4, vi:6, wi:9, si:4
dp[76]:42, k:1, vi:6, wi:9, si:4
dp[76]:51, k:2, vi:6, wi:9, si:4
dp[76]:60, k:3, vi:6, wi:9, si:4
dp[76]:69, k:4, vi:6, wi:9, si:4
dp[75]:42, k:1, vi:6, wi:9, si:4
dp[75]:51, k:2, vi:6, wi:9, si:4
dp[75]:60, k:3, vi:6, wi:9, si:4
dp[75]:69, k:4, vi:6, wi:9, si:4
dp[74]:42, k:1, vi:6, wi:9, si:4
dp[74]:51, k:2, vi:6, wi:9, si:4
dp[74]:60, k:3, vi:6, wi:9, si:4
dp[74]:69, k:4, vi:6, wi:9, si:4
dp[73]:42, k:1, vi:6, wi:9, si:4
dp[73]:51, k:2, vi:6, wi:9, si:4
dp[73]:60, k:3, vi:6, wi:9, si:4
dp[73]:69, k:4, vi:6, wi:9, si:4
dp[72]:42, k:1, vi:6, wi:9, si:4
dp[72]:51, k:2, vi:6, wi:9, si:4
dp[72]:60, k:3, vi:6, wi:9, si:4
dp[72]:69, k:4, vi:6, wi:9, si:4
dp[71]:42, k:1, vi:6, wi:9, si:4
dp[71]:51, k:2, vi:6, wi:9, si:4
dp[71]:60, k:3, vi:6, wi:9, si:4
dp[71]:69, k:4, vi:6, wi:9, si:4
dp[70]:42, k:1, vi:6, wi:9, si:4
dp[70]:51, k:2, vi:6, wi:9, si:4
dp[70]:60, k:3, vi:6, wi:9, si:4
dp[70]:69, k:4, vi:6, wi:9, si:4
dp[69]:42, k:1, vi:6, wi:9, si:4
dp[69]:51, k:2, vi:6, wi:9, si:4
dp[69]:60, k:3, vi:6, wi:9, si:4
dp[69]:69, k:4, vi:6, wi:9, si:4
dp[68]:42, k:1, vi:6, wi:9, si:4
dp[68]:51, k:2, vi:6, wi:9, si:4
dp[68]:60, k:3, vi:6, wi:9, si:4
dp[68]:69, k:4, vi:6, wi:9, si:4
dp[67]:42, k:1, vi:6, wi:9, si:4
dp[67]:51, k:2, vi:6, wi:9, si:4
dp[67]:60, k:3, vi:6, wi:9, si:4
dp[67]:69, k:4, vi:6, wi:9, si:4
dp[66]:42, k:1, vi:6, wi:9, si:4
dp[66]:51, k:2, vi:6, wi:9, si:4
dp[66]:60, k:3, vi:6, wi:9, si:4
dp[66]:69, k:4, vi:6, wi:9, si:4
dp[65]:42, k:1, vi:6, wi:9, si:4
dp[65]:51, k:2, vi:6, wi:9, si:4
dp[65]:60, k:3, vi:6, wi:9, si:4
dp[65]:69, k:4, vi:6, wi:9, si:4
dp[64]:42, k:1, vi:6, wi:9, si:4
dp[64]:51, k:2, vi:6, wi:9, si:4
dp[64]:60, k:3, vi:6, wi:9, si:4
dp[64]:69, k:4, vi:6, wi:9, si:4
dp[63]:42, k:1, vi:6, wi:9, si:4
dp[63]:51, k:2, vi:6, wi:9, si:4
dp[63]:60, k:3, vi:6, wi:9, si:4
dp[63]:69, k:4, vi:6, wi:9, si:4
dp[62]:42, k:1, vi:6, wi:9, si:4
dp[62]:51, k:2, vi:6, wi:9, si:4
dp[62]:60, k:3, vi:6, wi:9, si:4
dp[62]:69, k:4, vi:6, wi:9, si:4
dp[61]:42, k:1, vi:6, wi:9, si:4
dp[61]:51, k:2, vi:6, wi:9, si:4
dp[61]:60, k:3, vi:6, wi:9, si:4
dp[61]:69, k:4, vi:6, wi:9, si:4
dp[60]:42, k:1, vi:6, wi:9, si:4
dp[60]:51, k:2, vi:6, wi:9, si:4
dp[60]:60, k:3, vi:6, wi:9, si:4
dp[60]:69, k:4, vi:6, wi:9, si:4
dp[59]:42, k:1, vi:6, wi:9, si:4
dp[59]:51, k:2, vi:6, wi:9, si:4
dp[59]:60, k:3, vi:6, wi:9, si:4
dp[59]:69, k:4, vi:6, wi:9, si:4
dp[58]:42, k:1, vi:6, wi:9, si:4
dp[58]:51, k:2, vi:6, wi:9, si:4
dp[58]:60, k:3, vi:6, wi:9, si:4
dp[58]:69, k:4, vi:6, wi:9, si:4
dp[57]:42, k:1, vi:6, wi:9, si:4
dp[57]:51, k:2, vi:6, wi:9, si:4
dp[57]:60, k:3, vi:6, wi:9, si:4
dp[57]:69, k:4, vi:6, wi:9, si:4
dp[56]:42, k:1, vi:6, wi:9, si:4
dp[56]:51, k:2, vi:6, wi:9, si:4
dp[56]:60, k:3, vi:6, wi:9, si:4
dp[56]:69, k:4, vi:6, wi:9, si:4
dp[55]:42, k:1, vi:6, wi:9, si:4
dp[55]:51, k:2, vi:6, wi:9, si:4
dp[55]:60, k:3, vi:6, wi:9, si:4
dp[55]:69, k:4, vi:6, wi:9, si:4
dp[54]:42, k:1, vi:6, wi:9, si:4
dp[54]:51, k:2, vi:6, wi:9, si:4
dp[54]:60, k:3, vi:6, wi:9, si:4
dp[54]:69, k:4, vi:6, wi:9, si:4
dp[53]:42, k:1, vi:6, wi:9, si:4
dp[53]:51, k:2, vi:6, wi:9, si:4
dp[53]:60, k:3, vi:6, wi:9, si:4
dp[53]:69, k:4, vi:6, wi:9, si:4
dp[52]:42, k:1, vi:6, wi:9, si:4
dp[52]:51, k:2, vi:6, wi:9, si:4
dp[52]:60, k:3, vi:6, wi:9, si:4
dp[52]:69, k:4, vi:6, wi:9, si:4
dp[51]:42, k:1, vi:6, wi:9, si:4
dp[51]:51, k:2, vi:6, wi:9, si:4
dp[51]:60, k:3, vi:6, wi:9, si:4
dp[51]:69, k:4, vi:6, wi:9, si:4
dp[50]:42, k:1, vi:6, wi:9, si:4
dp[50]:51, k:2, vi:6, wi:9, si:4
dp[50]:60, k:3, vi:6, wi:9, si:4
dp[50]:60, k:4, vi:6, wi:9, si:4
dp[49]:42, k:1, vi:6, wi:9, si:4
dp[49]:51, k:2, vi:6, wi:9, si:4
dp[49]:60, k:3, vi:6, wi:9, si:4
dp[49]:60, k:4, vi:6, wi:9, si:4
dp[48]:42, k:1, vi:6, wi:9, si:4
dp[48]:51, k:2, vi:6, wi:9, si:4
dp[48]:60, k:3, vi:6, wi:9, si:4
dp[48]:60, k:4, vi:6, wi:9, si:4
dp[47]:42, k:1, vi:6, wi:9, si:4
dp[47]:51, k:2, vi:6, wi:9, si:4
dp[47]:60, k:3, vi:6, wi:9, si:4
dp[47]:60, k:4, vi:6, wi:9, si:4
dp[46]:42, k:1, vi:6, wi:9, si:4
dp[46]:51, k:2, vi:6, wi:9, si:4
dp[46]:60, k:3, vi:6, wi:9, si:4
dp[46]:60, k:4, vi:6, wi:9, si:4
dp[45]:42, k:1, vi:6, wi:9, si:4
dp[45]:51, k:2, vi:6, wi:9, si:4
dp[45]:60, k:3, vi:6, wi:9, si:4
dp[45]:60, k:4, vi:6, wi:9, si:4
dp[44]:42, k:1, vi:6, wi:9, si:4
dp[44]:51, k:2, vi:6, wi:9, si:4
dp[44]:51, k:3, vi:6, wi:9, si:4
dp[44]:54, k:4, vi:6, wi:9, si:4
dp[43]:42, k:1, vi:6, wi:9, si:4
dp[43]:51, k:2, vi:6, wi:9, si:4
dp[43]:51, k:3, vi:6, wi:9, si:4
dp[43]:54, k:4, vi:6, wi:9, si:4
dp[42]:42, k:1, vi:6, wi:9, si:4
dp[42]:51, k:2, vi:6, wi:9, si:4
dp[42]:51, k:3, vi:6, wi:9, si:4
dp[42]:54, k:4, vi:6, wi:9, si:4
dp[41]:42, k:1, vi:6, wi:9, si:4
dp[41]:51, k:2, vi:6, wi:9, si:4
dp[41]:51, k:3, vi:6, wi:9, si:4
dp[41]:54, k:4, vi:6, wi:9, si:4
dp[40]:42, k:1, vi:6, wi:9, si:4
dp[40]:51, k:2, vi:6, wi:9, si:4
dp[40]:51, k:3, vi:6, wi:9, si:4
